Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
Stereolab,2025-05-31,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42455600-stereolab-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Sıla,2025-05-31T20:30:00+0200,Rai Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42432842-sila-at-rai-amsterdam,24 Europaplein,1078 AA,52.34322,4.89128
Wunderhorse,2025-06-01T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42396355-wunderhorse-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
The Get Up Kids,2025-06-01T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42164917-get-up-kids-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Fatma Turgut,2025-06-01T20:30:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42419380-fatma-turgut-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Philipp Rüttgers,2025-06-01,Jazz Inverdan - Doopsgezinde Vermaning,"Zaandam, Netherlands",https://www.songkick.com/concerts/42066860-philipp-ruttgers-at-jazz-inverdan-doopsgezinde-vermaning,Unknown,Unknown,Unknown,Unknown
Pete Philly & Perquisite,2025-06-02T20:00:00+0200,De Kleine Komedie,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42307861-pete-philly-and-perquisite-at-de-kleine-komedie,Amstel 56-58,1017 AC,52.36695,4.8958
Dua Lipa,2025-06-03T19:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42169781-dua-lipa-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
GIMS,2025-06-03T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42402240-gims-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Puma Blue,2025-06-03T19:00:00+0200,Bitterzoet,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42436554-puma-blue-at-bitterzoet,Spuistraat 2,1012,52.3774,4.89422
Dua Lipa,2025-06-04T19:30:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42169783-dua-lipa-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Music of Simon & Garfunkel,2025-06-05T20:15:00+0200,Het Koninklijk Concertgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42275976-music-of-simon-and-garfunkel-at-het-koninklijk-concertgebouw,Concertgebouwplein 2-6,1071LN,52.35597,4.87856
Heathen Apostles,2025-06-05,Teatro Munganga,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42404761-heathen-apostles-at-teatro-munganga,Schinkelhavenstraat 27-HS,1075 VP,52.35436,4.85399
Gotu Jim,2025-06-06,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42412477-gotu-jim-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Arrows In Action,2025-06-07T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42424932-arrows-in-action-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Outdoor,2025-06-07T14:00:00+0200,komm schon Alter Festival,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42412818-milio-at-komm-schon-alter-festival,Unknown,Unknown,Unknown,Unknown
Komm schon Alter - das Festival 2025,2025-06-07,Tuinen van West,"Amsterdam, Netherlands",https://www.songkick.com/festivals/1836644-komm-schon-alter-das/id/42380286-komm-schon-alter--das-festival-2025,Joris van den Berghweg 107,1067HP,52.38331,4.78014
