Index,Artist,Date,Venue,City,Latitude,Longitude
369,Morgan Jay,2025/5/25,Theater Amsterdam,Amsterdam,52.39702,4.87724
370,Morgan Jay,2025/5/25,Theater Amsterdam,Amsterdam,52.39702,4.87724
371,"Nelly, Fabolous, Jermaine Dupri, and St. Lunatics",2025/5/26,Ziggo Dome,Amsterdam,52.31345,4.93719
372,Don Toliver,2025/5/26,AFAS Live,Amsterdam,52.31216,4.94467
373,"I'm With Her, Sarah Jarosz, Aoife O'Donovan, and Sara Watkins",2025/5/26,Paradiso,Amsterdam,52.36228,4.88395
374,Freak Slug,2025/5/26,Cinetol,Amsterdam,52.35281,4.90657
375,Patrick Wolf,2025/5/27,Tolhuistuin,Amsterdam,52.38515,4.90023
376,Tyler Hilton,2025/5/27,Bitterzoet,Amsterdam,52.3774,4.89422
377,Tate McRae,2025/5/28,Ziggo Dome,Amsterdam,52.31345,4.93719
378,daste.,2025/5/28,"Paradiso, upstairs",Amsterdam,Unknown,Unknown
379,Mozart Requiem,2025/5/28,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
380,Jenny Hval,2025/5/30,Muziekgebouw,Amsterdam,52.37835,4.91311
381,puntjudith,2025/5/30,OT301,Amsterdam,52.36014,4.86571
382,Stereolab,2025/5/31,Paradiso,Amsterdam,52.36228,4.88395
383,S?la,2025/5/31,Rai Amsterdam,Amsterdam,52.34322,4.89128
384,Wunderhorse,2025/6/1,Paradiso,Amsterdam,52.36228,4.88395
385,The Get Up Kids,2025/6/1,Melkweg,Amsterdam,52.36484,4.88127
386,Fatma Turgut,2025/6/1,AFAS Live,Amsterdam,52.31216,4.94467
387,Philipp R¨¹ttgers,2025/6/1,Jazz Inverdan - Doopsgezinde Vermaning,Zaandam,Unknown,Unknown
388,Pete Philly & Perquisite,2025/6/2,De Kleine Komedie,Amsterdam,52.36695,4.8958
389,Dua Lipa,2025/6/3,Ziggo Dome,Amsterdam,52.31345,4.93719
390,GIMS,2025/6/3,AFAS Live,Amsterdam,52.31216,4.94467
391,Puma Blue,2025/6/3,Bitterzoet,Amsterdam,52.3774,4.89422
392,Dua Lipa,2025/6/4,Ziggo Dome,Amsterdam,52.31345,4.93719
393,Music of Simon & Garfunkel,2025/6/5,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
394,Heathen Apostles,2025/6/5,Teatro Munganga,Amsterdam,52.35436,4.85399
395,Gotu Jim,2025/6/6,Paradiso,Amsterdam,52.36228,4.88395
396,Arrows In Action,2025/6/7,Melkweg,Amsterdam,52.36484,4.88127
397,Outdoor,2025/6/7,komm schon Alter Festival,Amsterdam,Unknown,Unknown
398,Komm schon Alter - das Festival 2025,2025/6/7,Tuinen van West,Amsterdam,52.38331,4.78014
399,Lente Kabinet 2025,2025/6/7,Unknown,Oostzaan,52.4405,4.87572
400,Morgan Jay,2025/6/8,Theater Amsterdam,Amsterdam,52.39702,4.87724
401,Morgan Jay,2025/6/8,Theater Amsterdam,Amsterdam,52.39702,4.87724
402,Snowapple,2025/6/10,Paradiso,Amsterdam,52.36228,4.88395
